ID,Algoritmo,Preempcoes_Media,Turnaround_Medio,WaitingTime_Medio
1,FCFS,0.0,64410.4,9676.4
1,RR,9669.0,30099.8,9669.0
1,RR Din창mico,9556.0,29775.2,9447.4
2,FCFS,0.0,125295.9,8996.5
2,RR,48696.4,70407.9,48696.4
2,RR Din창mico,46240.4,67734.2,46135.6
3,FCFS,0.0,170190.33333333334,11091.133333333333
3,RR,60561.2,80204.53333333334,60561.2
3,RR Din창mico,60975.066666666666,80405.86666666667,60877.86666666667
4,FCFS,0.0,248947.8,9593.05
4,RR,79157.85,98601.0,79157.85
4,RR Din창mico,80427.55,99663.8,80325.55
